age_group | category | category_l1 | category_l2 | category_l3 | count
Không xác định | Nestle đặc trị | Sữa | Nestle | Nestle đặc trị | 1
Không xác định | Corbiere | TPCN | TPCN cho mẹ | Calcium | 1
Không xác định | Áo bé gái Animo Easy | Thời trang | Thời trang bé gái | Áo bé gái | 32
Từ 3M | Áo sơ sinh | Thời trang | Cơ cấu hàng cũ | "Quần |  áo & phụ kiện sơ sinh cũ" | 71
Từ 3M | Núm ty Edison | Babycare | "Bình sữa |  phụ kiện" | Núm ty | 1
1Y-2Y | Kabrita Step 3 | Sữa | Kabrita | Kabrita | 1
Từ 5Y | Bộ bé trai Animo | Thời trang | Thời trang bé trai | Bộ bé trai | 20
Không xác định | Bodysuit Modal lẻ | Thời trang | Modal kháng khuẩn | Bodysuit Modal | 95
Từ 0M | Phấn rôm Goongbe | Hóa mỹ phẩm cho bé | Chăm sóc da bé | Phấn rôm & phấn thơm | 1
Không xác định | JustNest | Thực phẩm cho gia đình | Đồ uống | Nước yến | 2
Từ 6M | Hạt nêm | Thực phẩm cho bé | Dầu ăn & Gia vị | Hạt nêm & Dashi | 4
Từ 1Y | Nan | Sữa nước | Sữa bột pha sẵn | Nestle | 1
Từ 0M | "Gạc |  rơ lưỡi Sachi" | Babycare | Đồ dùng vệ sinh | "Gạc |  rơ lưỡi" | 1
Từ 4M | Hipp | Thực phẩm cho bé | Bột ăn dặm | Bột cho bé từ 4 tháng | 2
Không xác định | Gối ôm TH khác | Textile | Gối | Gối ôm | 4
Không xác định | Dụng cụ ăn uống Baby&I | Babycare | Đồ dùng ăn uống | Dụng cụ ăn uống | 2
2Y-6Y | Similac Step 4 | Sữa | Abbott | Similac | 2
Không xác định | Yakult | Thực phẩm cho bé | TP từ sữa (bảo quản lạnh) | Sữa chua uống | 2
Từ 1Y | Nhập vai bé gái | Đồ chơi & Sách | 1Y+ | Nhập vai | 1
1M-3M | Bình sữa Hegen | Babycare | "Bình sữa |  phụ kiện" | Bình sữa | 1
Không xác định | Dung dịch vệ sinh phụ nữ Lactacyd | Hóa mỹ phẩm gia đình | Chăm sóc cơ thể | Dung dịch vệ sinh phụ nữ | 4
1Y-3Y | Meiji nội địa Step 3 | Sữa | Meiji Nội địa | Meiji nội địa | 1
Không xác định | Gobebe | TPCN | TPCN cho bé | Men vi sinh | 1
Không xác định | Ivenet | Thực phẩm cho bé | Snack ăn dặm | Bánh gạo | 1
12M-18M | Bộ quần áo bé gái | Thời trang | Cơ cấu hàng cũ | "Thời trang bé trai |  bé gái cũ" | 21
Không xác định | Pin Animo | Babycare | Chăm sóc gia đình | Pin | 4
Không xác định | Hi-Chew | Thực phẩm cho gia đình | Kẹo | Kẹo mềm | 9
Không xác định | Pin ngừng bán | Babycare | Chăm sóc gia đình | Chăm sóc gia đình ngừng bán | 16
Không xác định | Viên sủi Sapphire | TPCN | TPCN cho bé | Viên sủi Vitamin | 2
0-12M | Nutramigen Specialty | Sữa | Enfa | Nutramigen | 1
Không xác định | Xe tập đi Tobby | Babycare | Đồ dùng ra ngoài | Xe tập đi | 1
Từ 1Y | BioCare | TPCN | TPCN cho bé | Kẽm | 1
Không xác định | Dutch lady | Sữa nước | Sữa tươi tiệt trùng | FCV | 1
Từ 18M | Quần bé trai | Thời trang | Cơ cấu hàng cũ | "Thời trang bé trai |  bé gái cũ" | 6
Không xác định | Khăn đa năng Animo | Textile | Khăn em bé | Khăn tắm trẻ em đa năng | 1
Không xác định | Phụ kiện cho mẹ ngừng bán | Babycare | Đồ dùng cho mẹ | Quần lót tiện lợi | 2
Không xác định | XiaoLeFeng | Thực phẩm cho bé | Bánh & Kẹo cho bé | Kẹo đồ chơi | 3
Không xác định | Nước cân bằng Delon | Hóa mỹ phẩm gia đình | Chăm sóc da | Nước cân bằng | 1
Không xác định | "Sách kể chuyện |  thơ |  đồng dao" | Đồ chơi & Sách | Sách & VPP | Sách | 73
9M-12M | Bodysuit bé trai tam giác | Thời trang | Thời trang bé trai | Bodysuit bé trai | 20
3M-6M | Quần sơ sinh Animo | Thời trang | Quần áo & Phụ kiện sơ sinh | Quần | 24
Không xác định | A2 skim milk | Sữa | A2 milk company | A2 milk | 1
Không xác định | Ensure Adult | Sữa nước | Sữa đặc trị pha sẵn | Abbott | 1
12M-18M | "Quần |  chân váy bé gái" | Thời trang | Cơ cấu hàng cũ | "Thời trang bé trai |  bé gái cũ" | 4
9M-12M | Bodysuit Animo Easy | Thời trang | Quần áo & Phụ kiện sơ sinh | Bodysuit | 5
Không xác định | Ivenet | Thực phẩm cho bé | Snack ăn dặm | Trái cây sấy cho bé | 2
Từ 1Y | Grow Plus đỏ | Sữa nước | Sữa đặc trị pha sẵn | Nutifood | 8
Không xác định | Moony Natural_Tã dán M-XXL | Tã | Moony | Moony Natural | 2
Không xác định | Áo sơ sinh Animo | Thời trang | Quần áo & Phụ kiện sơ sinh | Áo | 342
Không xác định | Nước tẩy rửa toilet Earth Choice | Hóa mỹ phẩm gia đình | Vệ sinh dụng cụ & bề mặt | Nước tẩy toilet | 2
2Y-10Y | Pedia Kenji Step 4 | Sữa | Vinamilk | Pedia Kenji | 1
Không xác định | Nón sơ sinh | Thời trang | Cơ cấu hàng cũ | "Quần |  áo & phụ kiện sơ sinh cũ" | 65
Không xác định | Heinz | Thực phẩm cho bé | Snack ăn dặm | Bánh quy | 1
Không xác định | Mabio | TPCN | TPCN cho mẹ | Thực phẩm lợi sữa | 1
0-6M | NAN Organic_Step 1 | Sữa | Nestle | NAN Organic | 1
Từ 4Y | "Quần |  chân váy bé gái" | Thời trang | Cơ cấu hàng cũ | "Thời trang bé trai |  bé gái cũ" | 36
Không xác định | Paysan Breton | Thực phẩm cho gia đình | TP từ sữa (bảo quản lạnh) | Bơ lạt | 2
Không xác định | Nước xả Animo | Hóa mỹ phẩm cho bé | Giặt xả cho bé | Xả vải cho bé | 3
Không xác định | Tắm gội thảo dược 3M | Hóa mỹ phẩm cho bé | Vệ sinh cho bé | Tắm gội cho bé | 1
Không xác định | Envy | Thực phẩm cho bé | Trái cây | Táo | 4
Không xác định | Khăn lau tóc Peomy | Textile | Khăn gia đình | Khăn lau tóc | 2
Không xác định | Nôi chung giường Bebear | Babycare | Bé ngủ | "Nôi |  cũi |  võng" | 2
Không xác định | Saila | Thực phẩm cho gia đình | Kẹo | Kẹo the | 2
Không xác định | "Máy hâm sữa |  tiệt trùng Concung Good" | Babycare | Thiết bị điện gia dụng | "Hâm sữa |  tiệt trùng" | 1
Không xác định | Heinz | Thực phẩm cho gia đình | Dầu ăn & Gia vị | Tương & Sốt | 9
Từ 0M | Ty ngậm Pigeon | Babycare | "Bình sữa |  phụ kiện" | Ty ngậm | 3
Không xác định | Pampers Nhật_Sơ Sinh | Tã | Pampers | Pampers Nhật | 3
Không xác định | Ned Nature | Thực phẩm cho gia đình | Mì & Đồ khô ăn liền | Ngũ cốc & Yến mạch | 1
Không xác định | SpringLeaf | TPCN | TPCN cho bé | Calcium | 1
0-12M | Similac Protection Step 1 | Sữa | Abbott | Similac Protection | 1
6M-9M | Áo ghile đông | Thời trang | Thời trang đông | "Áo |  Quần đông" | 7
1Y-2Y | Similac Step 3 | Sữa | Abbott | Similac | 2
Không xác định | Nước giặt Ariel | Hóa mỹ phẩm cho bé | Giặt xả cho bé | Giặt cho bé | 1
0-3M | Núm ty Aga-ae | Babycare | "Bình sữa |  phụ kiện" | Núm ty | 1
Từ 1Y | Sangha | Sữa nước | Sữa tươi tiệt trùng | Maeil | 2
Không xác định | Xịt thơm miệng Lana | Hóa mỹ phẩm gia đình | Chăm sóc răng miệng | Nước súc miệng | 1
Từ 5M | Ofukuro | Thực phẩm cho bé | Dầu ăn & Gia vị | Nước tương | 1
1Y-6Y | Phụ kiện khác tồn | Phụ kiện | Cơ cấu hàng cũ | Phụ  kiện tồn | 2
Từ 3M | Xịt mũi Bisalt & Hymasalt | Hóa mỹ phẩm cho bé | Chăm sóc sức khỏe bé | Tai mũi họng | 2
Không xác định | Nước rửa chén Gift | Hóa mỹ phẩm gia đình | Vệ sinh dụng cụ & bề mặt | Nước rửa chén | 2
Không xác định | Mixxo | Thực phẩm cho bé | TP từ sữa (bảo quản lạnh) | Váng sữa | 1
Không xác định | Brauer | TPCN | TPCN cho bé | Tăng cường hệ miễn dịch | 2
Không xác định | Bình sữa Aga-ae | Babycare | "Bình sữa |  phụ kiện" | Bình sữa | 9
1Y-9Y | Hikid Step 3 | Sữa | Ildong | Hikid | 1
Từ 3Y | Đầm bé gái Animo | Thời trang | Thời trang bé gái | Đầm bé gái | 4
Không xác định | Zeambi | TPCN | TPCN cho bé | Vitamin D | 1
Từ 3M | Xúc xắc khác | Đồ chơi & Sách | 0-1Y | Xúc xắc | 12
Từ 1Y | Kid&Young | Thực phẩm cho bé | Đồ uống | Nước ép trái cây cho bé | 2
Từ 7Y | Relkon | Thực phẩm cho bé | Bánh & Kẹo cho bé | Kẹo đồ chơi | 1
18M-4Y | Set 3 quần lót bé gái | Thời trang | Quần áo & Phụ kiện sơ sinh | Phụ kiện cho bé | 1
Không xác định | TH Milk | Thực phẩm cho gia đình | TP từ sữa (bảo quản lạnh) | Bơ lạt | 2
Không xác định | Eugica | TPCN | TPCN cho bé | Ho cảm | 1
Không xác định | Tắm gội toàn thân Arau | Hóa mỹ phẩm cho bé | Vệ sinh cho bé | Tắm gội cho bé | 1
Không xác định | Dầu Gấc | Thực phẩm cho bé | Dầu ăn & Gia vị | Dầu ăn | 1
Không xác định | Aojiru | Thực phẩm cho gia đình | Trà & Cà phê | Trà | 3
Không xác định | Playmore | Thực phẩm cho gia đình | Kẹo | Kẹo the | 4
Từ 2Y | Abbott Grow Gold Step 4 | Sữa | Abbott | Abbott Grow | 2
Từ 5M | Hạt nêm | Thực phẩm cho bé | Dầu ăn & Gia vị | Hạt nêm & Dashi | 2
Từ 5Y | Popin Cookin | Thực phẩm cho bé | Bánh & Kẹo cho bé | Kẹo đồ chơi | 3
Không xác định | Cerelac Nutripuffs | Thực phẩm cho bé | Snack ăn dặm | Puff | 2
Từ 5Y | Nhập vai Unisex | Đồ chơi & Sách | 1Y+ | Nhập vai | 1
3Y-4Y | Bộ quần áo bé gái | Thời trang | Cơ cấu hàng cũ | "Thời trang bé trai |  bé gái cũ" | 35
Không xác định | Giày tập đi 249k | Phụ kiện | Cơ cấu hàng cũ | Giày dép tồn | 77
Từ 0M | Quần bé trai | Thời trang | Cơ cấu hàng cũ | "Thời trang bé trai |  bé gái cũ" | 1
0-12M | Sandal bé trai S19 | Phụ kiện | Giày dép 1-3Y | Sandal bé trai | 2
Từ 2Y | Bộ bé trai Animo | Thời trang | Thời trang bé trai | Bộ bé trai | 23
Không xác định | C2 | Thực phẩm cho gia đình | Đồ uống | Trà uống liền | 2
Từ 18M | Bodysuit cũ | Thời trang | Cơ cấu hàng cũ | "Thời trang bé trai |  bé gái cũ" | 8
Không xác định | Khăn mặt Mollis | Textile | Khăn gia đình | Khăn mặt | 6
6M-9M | 0-12M Bodysuit tam giác | Thời trang | Quần áo & Phụ kiện sơ sinh | Bodysuit | 7
Không xác định | Máy vắt cam Bear | Babycare | Thiết bị điện gia dụng | Máy vắt cam | 1
Từ 2Y | Grow Plus Xanh | Sữa nước | Sữa bột pha sẵn | Nutifood | 1
Từ 0M | Set 2 đôi vớ | Thời trang | Quần áo & Phụ kiện sơ sinh | Phụ kiện cho bé | 2
Không xác định | Tắm gội thảo dược Kutieskin | Hóa mỹ phẩm cho bé | Vệ sinh cho bé | Tắm gội cho bé | 2
Mẹ | Hút sữa điện Philips Avent | Babycare | Thiết bị điện gia dụng | Hút sữa | 3
Không xác định | Kem dưỡng ẩm Neutrogena | Hóa mỹ phẩm gia đình | Chăm sóc da | Dưỡng ẩm mặt | 1
Không xác định | Dầu xả Pantene | Hóa mỹ phẩm gia đình | Chăm sóc tóc | Dầu xả | 3
Từ 6M | Bàn chải điện | Babycare | Đồ dùng vệ sinh | Bàn chải | 1
Từ 8M | Heinz | Thực phẩm cho bé | Thức ăn nghiền cho bé | Trái cây nghiền | 2
9Y-10Y | Áo bé trai | Thời trang | Cơ cấu hàng cũ | "Thời trang bé trai |  bé gái cũ" | 15
9M-12M | Bodysuit bé trai đùi | Thời trang | Thời trang bé trai | Bodysuit bé trai | 37
Không xác định | TH Rice | Thực phẩm cho gia đình | Đồ uống | Nước gạo | 2
Không xác định | Tắm gội Romano | Hóa mỹ phẩm gia đình | Chăm sóc cơ thể | Sữa tắm | 2
Từ 9M | Đồ chơi phát nhạc | Đồ chơi & Sách | 0-1Y | Phát triển giác quan | 3
3M-6M | Bodysuit Modal set 2 | Thời trang | Modal kháng khuẩn | Bodysuit Modal | 14
Không xác định | Elevit | TPCN | TPCN cho mẹ | Vitamin mẹ bầu | 1
Không xác định | Dầu gội Dove | Hóa mỹ phẩm gia đình | Chăm sóc tóc | Dầu gội | 2
Không xác định | Giày sơ sinh 119k S9 | Phụ kiện | Giày tập đi | Giày sơ sinh 119k | 4
Không xác định | Nịt bụng cho mẹ | Babycare | Đồ dùng cho mẹ | Đồ dùng cho mẹ ngừng bán | 6
Không xác định | Khẩu trang người lớn NIVA | Vệ sinh | Khẩu trang | Khẩu trang người lớn | 2
Từ 3Y | Hạt nêm | Thực phẩm cho bé | Dầu ăn & Gia vị | Hạt nêm & Dashi | 1
Không xác định | TH Milk | Sữa nước | Sữa hạt | Mắc ca | 1
3M-6M | Bodysuit bé gái tam giác | Thời trang | Thời trang bé gái | Bodysuit bé gái | 16
Không xác định | Bình sữa Pur | Babycare | "Bình sữa |  phụ kiện" | "Bình sữa |  phụ kiện ngừng bán" | 5
Không xác định | Thiên Việt | Thực phẩm cho gia đình | Đồ uống | Nước yến | 4
Không xác định | Tắm gội toàn thân Cadum | Hóa mỹ phẩm cho bé | Vệ sinh cho bé | Tắm gội cho bé | 3
0-12M | Bodysuit Animo | Thời trang | Quần áo & Phụ kiện sơ sinh | Bodysuit | 8
2Y-3Y | Vớ | Thời trang | Cơ cấu hàng cũ | Phụ kiện khác | 5
Từ 0M | Dưỡng da Aga-ae | Hóa mỹ phẩm cho bé | Chăm sóc da bé | Dưỡng da | 2
Không xác định | Phụ kiện khác tồn | Phụ kiện | Cơ cấu hàng cũ | Phụ  kiện tồn | 299
Không xác định | Xe đẩy Evenflo | Babycare | Đồ dùng ra ngoài | Xe đẩy | 15
9Y-10Y | 0-24M Áo thun bé trai tay dài đông | Thời trang | Cơ cấu hàng cũ | Phụ kiện khác | 4
Không xác định | Khăn lau tóc S'BABY | Textile | Khăn gia đình | Khăn lau tóc | 2
Không xác định | Yến Việt | Thực phẩm cho bé | Cháo ăn dặm | Bột cháo khô | 3
3M-6M | Bodysuit đông vải mỏng | Thời trang | Thời trang đông | Bodysuit đông | 16
Không xác định | Enfa C-sec Step 4 | Sữa | Enfa | Enfa C-sec | 1
Từ 2Y | Áo bé trai Animo Easy | Thời trang | Thời trang bé trai | Áo bé trai | 28
Không xác định | Nhiệt kế Microlife | Babycare | Chăm sóc gia đình | Thiết bị y tế | 2
Không xác định | Phụ kiện Pigeon | Babycare | "Bình sữa |  phụ kiện" | Phụ kiện bình sữa | 2
6M-9M | Bodysuit bé trai tam giác | Thời trang | Thời trang bé trai | Bodysuit bé trai | 21
Không xác định | Kem đánh răng Kodomo | Hóa mỹ phẩm cho bé | Vệ sinh cho bé | Kem đánh răng | 4
Không xác định | Whoopee_Sơ Sinh | Tã | Whoopee | Whoopee | 1
Không xác định | "Nôi |  cũi  Kub" | Babycare | Bé ngủ | "Nôi |  cũi |  võng" | 5
Không xác định | Quần lót tiện lợi Animo | Babycare | Đồ dùng cho mẹ | Quần lót tiện lợi | 3
Không xác định | Tã vải cũ | Thời trang | Cơ cấu hàng cũ | "Quần |  áo & phụ kiện sơ sinh cũ" | 28
Từ 1Y | Aptamil | Sữa nước | Sữa bột pha sẵn | Aptamil | 3
1Y-2Y | Similac Protection Step 3 | Sữa | Abbott | Similac Protection | 1
0-5Y | Gối nằm cao su TH khác | Textile | Gối | Gối nằm cao su | 2
Không xác định | Wall's | Thực phẩm cho gia đình | Thực phẩm đông lạnh | Kem | 6
Không xác định | Khăn mặt viên nén Mamamy Tropical | Vệ sinh | Khăn khô | Khăn mặt | 1
Không xác định | Khăn mặt Animo | Textile | Khăn gia đình | Khăn mặt | 1
Không xác định | Manna | Thực phẩm cho bé | Snack ăn dặm | Bánh xốp | 1
Từ 18M | Áo bé gái | Thời trang | Cơ cấu hàng cũ | "Thời trang bé trai |  bé gái cũ" | 23
Từ 3Y | Quần bé trai | Thời trang | Cơ cấu hàng cũ | "Thời trang bé trai |  bé gái cũ" | 8
Không xác định | Nôi vải Khang Home | Babycare | Bé ngủ | "Nôi |  cũi |  võng" | 2
0-12M | Quần sơ sinh Animo | Thời trang | Quần áo & Phụ kiện sơ sinh | Quần | 20
Không xác định | Sách nuôi dạy con | Đồ chơi & Sách | Sách & VPP | Sách | 20
Không xác định | Quaker | Thực phẩm cho gia đình | Mì & Đồ khô ăn liền | Ngũ cốc & Yến mạch | 4
1Y-4Y | Đầm bé gái Animo | Thời trang | Thời trang bé gái | Đầm bé gái | 2
6M-12M | Bellamy Step 2 | Sữa | Bellamy | Bellamy | 1
Từ 4Y | Áo bé gái Animo | Thời trang | Thời trang bé gái | Áo bé gái | 2
1Y-6Y | Ba lô | Phụ kiện | Phụ kiện khác | "Túi xách |  Ba lô" | 5
9M-12M | Bodysuit bé gái đùi | Thời trang | Thời trang bé gái | Bodysuit bé gái | 24
0-6M | Vớ | Thời trang | Cơ cấu hàng cũ | Phụ kiện khác | 5
Không xác định | Giày và sandal bé gái S17 | Phụ kiện | Giày dép 1-3Y | Giày và sandal bé gái | 3
Không xác định | Bình sữa Moyuum | Babycare | "Bình sữa |  phụ kiện" | Bình sữa | 6
Không xác định | Huro | Thực phẩm cho bé | Bánh & Kẹo cho bé | Kẹo dẻo | 2
1Y-3Y | Đồ chơi âm nhạc | Đồ chơi & Sách | 1Y+ | Học tập và phát triển tư duy | 1
Không xác định | Glico Step 1 | Sữa | Glico | Glico | 3
Từ 2Y | Grow plus vàng | Sữa nước | Sữa bột pha sẵn | Nutifood | 2
Không xác định | "Máy hâm sữa |  tiệt trùng ngừng bán" | Babycare | Thiết bị điện gia dụng | "Hâm sữa |  tiệt trùng" | 11
0-3M | Bộ quần áo bé trai | Thời trang | Cơ cấu hàng cũ | "Thời trang bé trai |  bé gái cũ" | 2
18M-24M | Bộ quần áo bé gái | Thời trang | Cơ cấu hàng cũ | "Thời trang bé trai |  bé gái cũ" | 18
Không xác định | Blackmores | TPCN | TPCN cho gia đình | Vitamin C | 1
0-4Y | Sunday Natural | TPCN | TPCN cho bé | Vitamin D | 1
Không xác định | Dầu Sachi | Thực phẩm cho bé | Dầu ăn & Gia vị | Dầu ăn | 2
Không xác định | Nước xả Comfort | Hóa mỹ phẩm cho bé | Giặt xả cho bé | Xả vải cho bé | 1
Từ 2Y | Bodysuit | Thời trang | Cơ cấu hàng cũ | "Thời trang bé trai |  bé gái cũ" | 22
Không xác định | Popin Cookin | Thực phẩm cho bé | Bánh & Kẹo cho bé | Kẹo đồ chơi | 8
6M-24M | NAN Organic_Step 2 | Sữa | Nestle | NAN Organic | 1
Từ 2M | Gối nằm cao su Animo | Textile | Gối | Gối nằm cao su | 1
0-12M | Aptamil NZ Step 1 | Sữa | Aptamil | Aptamil NZ | 4
0-24M | Giày chút chít 229k S14 | Phụ kiện | Giày tập đi | Giày chút chít 179k | 1
Không xác định | Bộ bé gái Animo Easy | Thời trang | Thời trang bé gái | Bộ bé gái | 181
